citypair,aircraft,sum_departures_performed,sum_departures_scheduled,passengers,seats,avg_fuel_price,avg_stock_price,total_operating_expense,quarter,year,revenue
ATL-RDU,Boeing 737-700/700LR/Max 7,108.0,111.0,9853.0,15444.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ATL-RIC,Boeing 737-300,140.0,145.0,11850.0,19468.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ATL-RIC,Boeing 737-700/700LR/Max 7,114.0,118.0,10592.0,16302.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ATL-RSW,Boeing 737-300,114.0,116.0,13755.0,16068.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ATL-SAT,Boeing 737-300,70.0,71.0,5650.0,9746.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
ATL-SAT,Boeing 737-700/700LR/Max 7,96.0,98.0,10975.0,13728.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-BNA,Boeing 737-300,66.0,68.0,8112.0,9420.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-BNA,Boeing 737-700/700LR/Max 7,100.0,101.0,11138.0,14300.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-BWI,Boeing 737-300,27.0,28.0,2465.0,3801.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-BWI,Boeing 737-700/700LR/Max 7,133.0,138.0,13586.0,19019.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-DCA,Boeing 737-700/700LR/Max 7,11.0,13.0,1035.0,1573.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-DCA,Boeing 737-800,75.0,78.0,10895.0,13125.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-DEN,Boeing 737-700/700LR/Max 7,128.0,131.0,16183.0,18304.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-DEN,Boeing 737-800,124.0,127.0,17951.0,21700.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-EWR,Boeing 737-300,37.0,38.0,3667.0,5273.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-EWR,Boeing 737-700/700LR/Max 7,107.0,109.0,11493.0,15301.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-HRL,Boeing 737-300,55.0,56.0,3139.0,7631.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-LAS,Boeing 737-700/700LR/Max 7,102.0,103.0,11560.0,14586.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-LAX,Boeing 737-300,106.0,107.0,10938.0,14618.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-LBB,Boeing 737-700/700LR/Max 7,74.0,75.0,6812.0,10582.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-MDW,Boeing 737-700/700LR/Max 7,154.0,156.0,17290.0,22022.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-MDW,Boeing 737-800,39.0,40.0,4839.0,6825.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-MSY,Boeing 737-700/700LR/Max 7,87.0,88.0,9893.0,12441.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-PHX,Boeing 737-300,169.0,170.0,21382.0,24101.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-SJC,Boeing 737-700/700LR/Max 7,152.0,153.0,16122.0,21736.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
AUS-TPA,Boeing 737-700/700LR/Max 7,59.0,60.0,5864.0,8437.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BDL-BWI,Boeing 737-300,150.0,158.0,17834.0,21168.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BDL-BWI,Boeing 737-700/700LR/Max 7,365.0,381.0,40855.0,52195.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BDL-DEN,Boeing 737-800,74.0,77.0,12001.0,12950.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BDL-FLL,Boeing 737-700/700LR/Max 7,69.0,70.0,9068.0,9867.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BDL-FLL,Boeing 737-800,31.0,32.0,4953.0,5425.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BDL-MDW,Boeing 737-700/700LR/Max 7,169.0,174.0,18269.0,24167.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BHM-BWI,Boeing 737-700/700LR/Max 7,76.0,78.0,7691.0,10868.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
